rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
5,43989166,1-omp,1gpu,1,0,768,7.45546e-05,500,37.4710,13.742796,ok
5,43989166,2-omp,2gpu,2,0-1,768,7.45546e-05,500,32.2490,7.601587,ok
5,43989166,2-omp-stream,2gpu,2,0-1,768,7.45546e-05,500,31.3760,6.593775,ok
5,43989166,2-omp-stream-omp,2gpu,2,0-1,768,7.45546e-05,500,31.3870,6.558079,ok
5,43989166,2-omp-stream-omp-p2p,2gpu,2,0-1,768,7.45546e-05,500,31.4290,6.626058,ok
5,43989166,4-omp,4gpu,4,0-1-2-3,768,7.45546e-05,500,31.7160,6.318855,ok
5,43989166,4-omp-stream,4gpu,4,0-1-2-3,768,7.45546e-05,500,28.4440,3.460461,ok
5,43989166,4-omp-stream-omp,4gpu,4,0-1-2-3,768,7.45546e-05,500,28.2260,3.375167,ok
5,43989166,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,768,7.45546e-05,500,27.9520,3.100529,ok
