rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
4,43989175,1-omp,1gpu,1,0,1024,4.190964e-05,500,89.6340,34.052847,ok
4,43989175,2-omp,2gpu,2,0-1,1024,4.190964e-05,500,75.5700,18.122009,ok
4,43989175,2-omp-stream,2gpu,2,0-1,1024,4.190964e-05,500,74.3500,16.562696,ok
4,43989175,2-omp-stream-omp,2gpu,2,0-1,1024,4.190964e-05,500,74.3760,16.547741,ok
4,43989175,2-omp-stream-omp-p2p,2gpu,2,0-1,1024,4.190964e-05,500,74.3340,16.546156,ok
4,43989175,4-omp,4gpu,4,0-1-2-3,1024,4.190964e-05,500,71.7740,13.258962,ok
4,43989175,4-omp-stream,4gpu,4,0-1-2-3,1024,4.190964e-05,500,66.5030,8.053895,ok
4,43989175,4-omp-stream-omp,4gpu,4,0-1-2-3,1024,4.190964e-05,500,66.8640,8.085665,ok
4,43989175,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1024,4.190964e-05,500,66.7350,7.932917,ok
