rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
3,43989416,1-omp,1gpu,1,0,1152,3.310659e-05,500,128.4550,49.637172,ok
3,43989416,2-omp,2gpu,2,0-1,1152,3.310659e-05,500,107.7600,26.315080,ok
3,43989416,2-omp-stream,2gpu,2,0-1,1152,3.310659e-05,500,104.9140,24.267682,ok
3,43989416,2-omp-stream-omp,2gpu,2,0-1,1152,3.310659e-05,500,105.9270,24.211334,ok
3,43989416,2-omp-stream-omp-p2p,2gpu,2,0-1,1152,3.310659e-05,500,105.5690,24.246173,ok
3,43989416,4-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,100.3870,17.943334,ok
3,43989416,4-omp-stream,4gpu,4,0-1-2-3,1152,3.310659e-05,500,94.0030,11.738509,ok
3,43989416,4-omp-stream-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,93.8130,11.740703,ok
3,43989416,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1152,3.310659e-05,500,94.1540,11.797044,ok
