rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
1,43992295,1-omp,1gpu,1,0,1024,4.190964e-05,500,90.5240,34.646589,ok
1,43992295,2-omp,2gpu,2,0-1,1024,4.190964e-05,500,90.7050,34.952852,ok
1,43992295,2-omp-stream,2gpu,2,0-1,1024,4.190964e-05,500,90.7230,34.958844,ok
1,43992295,2-omp-stream-omp,2gpu,2,0-1,1024,4.190964e-05,500,74.3140,16.945750,ok
1,43992295,2-omp-stream-omp-p2p,2gpu,2,0-1,1024,4.190964e-05,500,73.7260,16.789374,ok
1,43992295,4-omp,4gpu,4,0-1-2-3,1024,4.190964e-05,500,93.3010,36.731419,ok
1,43992295,4-omp-stream,4gpu,4,0-1-2-3,1024,4.190964e-05,500,92.9410,36.719845,ok
1,43992295,4-omp-stream-omp,4gpu,4,0-1-2-3,1024,4.190964e-05,500,66.0180,8.969819,ok
1,43992295,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1024,4.190964e-05,500,65.5940,8.262116,ok
