rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
2,43991377,1-omp,1gpu,1,0,640,0.0001074146,500,20.0210,6.144237,ok
2,43991377,2-omp,2gpu,2,0-1,640,0.0001074146,500,17.6810,3.288724,ok
2,43991377,2-omp-stream,2gpu,2,0-1,640,0.0001074146,500,17.1600,2.754065,ok
2,43991377,2-omp-stream-omp,2gpu,2,0-1,640,0.0001074146,500,17.4310,2.708194,ok
2,43991377,2-omp-stream-omp-p2p,2gpu,2,0-1,640,0.0001074146,500,16.9210,2.606366,ok
2,43991377,4-omp,4gpu,4,0-1-2-3,640,0.0001074146,500,18.4530,3.518342,ok
2,43991377,4-omp-stream,4gpu,4,0-1-2-3,640,0.0001074146,500,16.5940,1.649004,ok
2,43991377,4-omp-stream-omp,4gpu,4,0-1-2-3,640,0.0001074146,500,16.4740,1.634942,ok
2,43991377,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,640,0.0001074146,500,16.2460,1.247970,ok
