rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
4,43992475,1-omp,1gpu,1,0,1152,3.310659e-05,500,127.5270,48.503027,ok
4,43992475,2-omp,2gpu,2,0-1,1152,3.310659e-05,500,129.2300,49.841243,ok
4,43992475,2-omp-stream,2gpu,2,0-1,1152,3.310659e-05,500,129.3700,49.803290,ok
4,43992475,2-omp-stream-omp,2gpu,2,0-1,1152,3.310659e-05,500,106.1250,24.470791,ok
4,43992475,2-omp-stream-omp-p2p,2gpu,2,0-1,1152,3.310659e-05,500,105.0670,24.394747,ok
4,43992475,4-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,132.6780,52.227121,ok
4,43992475,4-omp-stream,4gpu,4,0-1-2-3,1152,3.310659e-05,500,132.4920,52.388100,ok
4,43992475,4-omp-stream-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,95.8040,12.779622,ok
4,43992475,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1152,3.310659e-05,500,93.9960,11.898770,ok
