variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps
1-omp,1,512,5,0,3.4326,3.4455,3.5020,2.0,501
1-omp,1,640,5,0,6.5507,6.6540,6.7412,2.9,500
1-omp,1,768,5,0,10.7880,10.8819,10.9332,1.3,501
1-omp,1,896,5,0,16.5982,16.8913,17.1389,3.2,501
1-omp,1,1024,5,0,24.6286,24.7372,25.3232,2.8,501
1-omp,1,1152,5,0,35.4474,35.6891,36.0582,1.7,500
1-omp,1,1280,5,0,48.5295,48.8792,50.9786,5.0,500
2-omp,2,512,5,0,2.5813,2.8432,3.0787,17.5,501
2-omp,2,640,5,0,4.4569,4.4976,4.5664,2.4,500
2-omp,2,768,5,0,7.1927,7.3500,7.4707,3.8,501
2-omp,2,896,5,0,10.4760,10.5555,10.6308,1.5,501
2-omp,2,1024,5,0,14.5931,14.9288,15.2189,4.2,501
2-omp,2,1152,5,0,20.9523,21.6223,21.9226,4.5,500
2-omp,2,1280,5,0,27.5222,28.0633,28.7241,4.3,500
2-omp-stream,2,512,5,0,2.9668,3.2560,3.3997,13.3,501
2-omp-stream,2,640,5,0,5.1011,5.7390,6.0495,16.5,500
2-omp-stream,2,768,5,0,8.6538,9.1910,9.2414,6.4,501
2-omp-stream,2,896,5,0,13.0564,13.4823,14.0558,7.4,501
2-omp-stream,2,1024,5,0,17.9979,18.3567,18.6623,3.6,501
2-omp-stream,2,1152,5,0,25.5696,26.4614,27.0995,5.8,500
2-omp-stream,2,1280,5,0,33.1879,34.4525,35.5805,6.9,500
2-omp-stream-omp,2,512,5,0,2.5989,2.7236,2.7791,6.6,501
2-omp-stream-omp,2,640,5,0,4.8995,4.9912,5.2317,6.7,500
2-omp-stream-omp,2,768,5,0,7.8849,8.0539,8.2121,4.1,501
2-omp-stream-omp,2,896,5,0,12.2964,12.4453,12.7781,3.9,501
2-omp-stream-omp,2,1024,5,0,17.9174,18.0370,18.0542,0.8,501
2-omp-stream-omp,2,1152,5,0,26.0080,26.3950,27.3435,5.1,500
2-omp-stream-omp,2,1280,5,0,35.3841,35.8245,36.2440,2.4,500
2-omp-stream-omp-p2p,2,512,5,0,2.2890,2.3793,2.6160,13.7,501
2-omp-stream-omp-p2p,2,640,5,0,4.7302,4.7618,5.0364,6.4,500
2-omp-stream-omp-p2p,2,768,5,0,7.6494,7.7048,7.9887,4.4,501
2-omp-stream-omp-p2p,2,896,5,0,11.7603,12.1401,12.3034,4.5,501
2-omp-stream-omp-p2p,2,1024,5,0,16.9684,17.8144,18.0028,5.8,501
2-omp-stream-omp-p2p,2,1152,5,0,24.7047,26.1792,26.8064,8.0,500
2-omp-stream-omp-p2p,2,1280,5,0,34.7129,35.3106,37.1206,6.8,500
4-omp,4,512,5,0,5.5397,6.0410,6.1642,10.3,501
4-omp,4,640,5,0,7.6932,7.9737,8.1759,6.1,500
4-omp,4,768,5,0,10.3645,12.4290,12.6917,18.7,501
4-omp,4,896,5,0,14.8574,15.6628,16.0938,7.9,501
4-omp,4,1024,5,0,18.0998,18.3263,19.1242,5.6,501
4-omp,4,1152,5,0,22.4980,23.3313,24.4165,8.2,500
4-omp,4,1280,5,0,28.0728,28.7869,30.0196,6.8,500
4-omp-stream,4,512,5,0,3.2265,3.9192,4.0114,20.0,501
4-omp-stream,4,640,5,0,4.8945,5.1468,5.6044,13.8,500
4-omp-stream,4,768,5,0,7.9404,8.1700,8.4036,5.7,501
4-omp-stream,4,896,5,0,10.3657,10.9866,11.5885,11.1,501
4-omp-stream,4,1024,5,0,13.2589,14.2428,14.8702,11.3,501
4-omp-stream,4,1152,5,0,17.4604,18.0326,18.0656,3.4,500
4-omp-stream,4,1280,5,0,22.8020,22.8663,22.9670,0.7,500
4-omp-stream-omp,4,512,5,0,3.0056,3.1855,3.4770,14.8,501
4-omp-stream-omp,4,640,5,0,4.1381,4.4280,4.6519,11.6,500
4-omp-stream-omp,4,768,5,0,6.8166,7.1908,7.6269,11.3,501
4-omp-stream-omp,4,896,5,0,8.3017,8.9716,9.7888,16.6,501
4-omp-stream-omp,4,1024,5,0,11.2539,11.8192,12.2680,8.6,501
4-omp-stream-omp,4,1152,5,0,15.3710,15.9090,16.0643,4.4,500
4-omp-stream-omp,4,1280,5,0,20.6056,20.8765,21.0816,2.3,500
4-omp-stream-omp-p2p,4,512,5,0,1.9176,1.9815,2.0158,5.0,501
4-omp-stream-omp-p2p,4,640,5,0,3.0816,3.2747,3.3490,8.2,500
4-omp-stream-omp-p2p,4,768,5,0,4.6040,4.6806,4.8641,5.6,501
4-omp-stream-omp-p2p,4,896,5,0,6.8445,7.0540,7.5989,10.7,501
4-omp-stream-omp-p2p,4,1024,5,0,9.4845,10.0712,10.3506,8.6,501
4-omp-stream-omp-p2p,4,1152,5,0,13.6868,13.9848,14.1561,3.4,500
4-omp-stream-omp-p2p,4,1280,5,0,18.7141,18.8716,18.9819,1.4,500
