variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps
1-omp,1,512,5,0,3.4146,3.6681,3.6746,7.1,501
1-omp,1,640,5,0,6.1300,6.1442,6.1515,0.4,500
1-omp,1,768,5,0,13.6714,13.7234,13.7414,0.5,501
1-omp,1,896,5,0,21.2861,21.6017,21.7973,2.4,501
1-omp,1,1024,5,0,34.6469,34.6743,34.7095,0.2,501
1-omp,1,1152,5,0,49.6413,49.6654,49.6758,0.1,500
1-omp,1,1280,5,0,63.6227,63.7090,65.7156,3.3,500
2-omp,2,512,5,0,2.2028,2.2809,2.3155,4.9,501
2-omp,2,640,5,0,3.2887,3.2917,3.2992,0.3,500
2-omp,2,768,5,0,7.6016,7.6635,7.6986,1.3,501
2-omp,2,896,5,0,11.3062,11.3473,11.4195,1.0,501
2-omp,2,1024,5,0,18.0477,18.2244,18.3090,1.4,501
2-omp,2,1152,5,0,26.1369,26.3412,26.4161,1.1,500
2-omp,2,1280,5,0,33.5544,33.9239,34.0388,1.4,500
2-omp-stream,2,512,5,0,1.8678,1.9295,1.9396,3.7,501
2-omp-stream,2,640,5,0,2.7194,2.7523,2.7541,1.3,500
2-omp-stream,2,768,5,0,6.6156,6.7156,6.7396,1.8,501
2-omp-stream,2,896,5,0,10.1412,10.1926,10.2349,0.9,501
2-omp-stream,2,1024,5,0,16.7285,16.7496,16.8496,0.7,501
2-omp-stream,2,1152,5,0,24.3509,24.4043,24.5700,0.9,500
2-omp-stream,2,1280,5,0,31.4139,31.4918,31.8667,1.4,500
2-omp-stream-omp,2,512,5,0,1.8590,1.8924,1.9149,3.0,501
2-omp-stream-omp,2,640,5,0,2.6900,2.7189,2.7371,1.7,500
2-omp-stream-omp,2,768,5,0,6.6992,6.8301,6.8681,2.5,501
2-omp-stream-omp,2,896,5,0,10.3156,10.3378,10.4296,1.1,501
2-omp-stream-omp,2,1024,5,0,16.8450,16.9756,17.1124,1.6,501
2-omp-stream-omp,2,1152,5,0,24.5858,24.7372,24.8503,1.1,500
2-omp-stream-omp,2,1280,5,0,31.6973,31.7812,32.1144,1.3,500
2-omp-stream-omp-p2p,2,512,5,0,1.6752,1.7498,1.7554,4.6,501
2-omp-stream-omp-p2p,2,640,5,0,2.6021,2.6050,2.6144,0.5,500
2-omp-stream-omp-p2p,2,768,5,0,6.6059,6.6725,6.6915,1.3,501
2-omp-stream-omp-p2p,2,896,5,0,10.0628,10.1201,10.1586,0.9,501
2-omp-stream-omp-p2p,2,1024,5,0,16.5186,16.6860,16.6997,1.1,501
2-omp-stream-omp-p2p,2,1152,5,0,24.2359,24.3419,24.3483,0.5,500
2-omp-stream-omp-p2p,2,1280,5,0,31.3527,31.4638,31.5836,0.7,500
4-omp,4,512,5,0,2.6242,2.7148,2.7855,5.9,501
4-omp,4,640,5,0,3.4847,3.5189,3.5241,1.1,500
4-omp,4,768,5,0,6.0439,6.2823,6.3276,4.5,501
4-omp,4,896,5,0,8.4448,8.6871,8.7038,3.0,501
4-omp,4,1024,5,0,12.7815,12.9168,13.4757,5.4,501
4-omp,4,1152,5,0,18.0236,18.2802,18.3073,1.6,500
4-omp,4,1280,5,0,22.0054,22.4503,22.6329,2.8,500
4-omp-stream,4,512,5,0,1.3418,1.3496,1.3577,1.2,501
4-omp-stream,4,640,5,0,1.6374,1.6490,1.6563,1.1,500
4-omp-stream,4,768,5,0,3.6371,3.6552,3.6792,1.2,501
4-omp-stream,4,896,5,0,5.2399,5.2760,5.3394,1.9,501
4-omp-stream,4,1024,5,0,8.5796,8.6243,8.6980,1.4,501
4-omp-stream,4,1152,5,0,12.3404,12.3926,12.4640,1.0,500
4-omp-stream,4,1280,5,0,15.2964,15.3478,15.4327,0.9,500
4-omp-stream-omp,4,512,5,0,1.3517,1.3640,1.3719,1.5,501
4-omp-stream-omp,4,640,5,0,1.6172,1.6361,1.6529,2.2,500
4-omp-stream-omp,4,768,5,0,3.7552,3.7641,3.8424,2.3,501
4-omp-stream-omp,4,896,5,0,5.3737,5.4586,5.5856,3.9,501
4-omp-stream-omp,4,1024,5,0,8.8944,8.9385,9.0316,1.5,501
4-omp-stream-omp,4,1152,5,0,12.7938,12.8661,12.9578,1.3,500
4-omp-stream-omp,4,1280,5,0,15.6577,15.9830,16.1473,3.1,500
4-omp-stream-omp-p2p,4,512,5,0,0.9542,0.9629,0.9804,2.7,501
4-omp-stream-omp-p2p,4,640,5,0,1.2341,1.2386,1.2480,1.1,500
4-omp-stream-omp-p2p,4,768,5,0,3.2965,3.3403,3.3736,2.3,501
4-omp-stream-omp-p2p,4,896,5,0,4.7560,4.8593,4.9863,4.7,501
4-omp-stream-omp-p2p,4,1024,5,0,8.2245,8.2925,8.3678,1.7,501
4-omp-stream-omp-p2p,4,1152,5,0,12.0702,12.3361,12.5017,3.5,500
4-omp-stream-omp-p2p,4,1280,5,0,15.4011,15.4391,15.5545,1.0,500
