framework,version,N,elapsed_sec,bandwidth_gbs,status,hierarchy
omp_off,v1,117500000,0.030097,31.232341,ok,COMPOSITE
omp_off,v2,117500000,0.030336,61.972285,ok,COMPOSITE
omp_off,v4,117500000,0.089344,31.563387,ok,COMPOSITE
sycl,v1,117500000,0.012420,75.684752,ok,COMPOSITE
sycl,v2,117500000,0.044021,42.706995,ok,COMPOSITE
sycl,v4,117500000,0.041868,67.354589,ok,COMPOSITE
omp_off,v1,217500000,0.055436,31.387470,ok,COMPOSITE
omp_off,v2,217500000,0.055446,62.763873,ok,COMPOSITE
omp_off,v4,217500000,0.165120,31.613394,ok,COMPOSITE
sycl,v1,217500000,0.022935,75.866865,ok,COMPOSITE
sycl,v2,217500000,0.057208,60.830588,ok,COMPOSITE
sycl,v4,217500000,0.052072,100.245721,ok,COMPOSITE
omp_off,v1,318750000,0.080812,31.554728,ok,COMPOSITE
omp_off,v2,318750000,0.081021,62.946589,ok,COMPOSITE
omp_off,v4,318750000,0.241672,31.654469,ok,COMPOSITE
sycl,v1,318750000,0.033572,75.955708,ok,COMPOSITE
sycl,v2,318750000,0.068905,74.015081,ok,COMPOSITE
sycl,v4,318750000,0.062593,122.218172,ok,COMPOSITE
omp_off,v1,418750000,0.106044,31.590644,ok,COMPOSITE
omp_off,v2,418750000,0.106378,62.983042,ok,COMPOSITE
omp_off,v4,418750000,0.317238,31.679700,ok,COMPOSITE
sycl,v1,418750000,0.044067,76.020767,ok,COMPOSITE
sycl,v2,418750000,0.081553,82.155181,ok,COMPOSITE
sycl,v4,418750000,0.072735,138.173137,ok,COMPOSITE
omp_off,v1,520000000,0.131527,31.628442,ok,COMPOSITE
omp_off,v2,520000000,0.131762,63.144141,ok,COMPOSITE
omp_off,v4,520000000,0.393683,31.700636,ok,COMPOSITE
sycl,v1,520000000,0.054721,76.022171,ok,COMPOSITE
sycl,v2,520000000,0.096789,85.960073,ok,COMPOSITE
sycl,v4,520000000,0.083359,149.713883,ok,COMPOSITE
omp_off,v1,1240000000,0.312901,31.703316,ok,COMPOSITE
omp_off,v2,1240000000,0.313146,63.357053,ok,COMPOSITE
omp_off,v4,1240000000,0.937838,31.732557,ok,COMPOSITE
sycl,v1,1240000000,0.130384,76.082973,ok,COMPOSITE
sycl,v2,1240000000,0.185680,106.850409,ok,COMPOSITE
sycl,v4,1240000000,0.159911,186.103616,ok,COMPOSITE
