rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
5,43989176,1-omp,1gpu,1,0,1024,4.190964e-05,500,90.1590,34.761692,ok
5,43989176,2-omp,2gpu,2,0-1,1024,4.190964e-05,500,73.6950,18.168387,ok
5,43989176,2-omp-stream,2gpu,2,0-1,1024,4.190964e-05,500,72.3790,16.651236,ok
5,43989176,2-omp-stream-omp,2gpu,2,0-1,1024,4.190964e-05,500,74.3640,16.624824,ok
5,43989176,2-omp-stream-omp-p2p,2gpu,2,0-1,1024,4.190964e-05,500,74.3350,16.650369,ok
5,43989176,4-omp,4gpu,4,0-1-2-3,1024,4.190964e-05,500,71.7690,13.344836,ok
5,43989176,4-omp-stream,4gpu,4,0-1-2-3,1024,4.190964e-05,500,66.6500,8.064614,ok
5,43989176,4-omp-stream-omp,4gpu,4,0-1-2-3,1024,4.190964e-05,500,66.9200,8.083018,ok
5,43989176,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1024,4.190964e-05,500,66.5400,7.935035,ok
