rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
3,43991378,1-omp,1gpu,1,0,640,0.0001074146,500,19.9950,6.140974,ok
3,43991378,2-omp,2gpu,2,0-1,640,0.0001074146,500,17.6490,3.293467,ok
3,43991378,2-omp-stream,2gpu,2,0-1,640,0.0001074146,500,17.1870,2.730288,ok
3,43991378,2-omp-stream-omp,2gpu,2,0-1,640,0.0001074146,500,17.1180,2.720440,ok
3,43991378,2-omp-stream-omp-p2p,2gpu,2,0-1,640,0.0001074146,500,17.1110,2.604899,ok
3,43991378,4-omp,4gpu,4,0-1-2-3,640,0.0001074146,500,18.4400,3.524055,ok
3,43991378,4-omp-stream,4gpu,4,0-1-2-3,640,0.0001074146,500,16.7210,1.656308,ok
3,43991378,4-omp-stream-omp,4gpu,4,0-1-2-3,640,0.0001074146,500,16.6280,1.636110,ok
3,43991378,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,640,0.0001074146,500,16.2330,1.241372,ok
