rep,job_id,variant,gb_target,impl,backend,order,rows,nnz,nnz_row,mean_bandwidth,footprint_gb,iters,relres,cycle_ms,spmv_ms,other_ms,spmv_share,gbs,best_ms,spread_pct,runs,par,halo_ms,wall_sec,status
2,21848685,ompgpu1,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.037,167,9.459831e-09,49.958658,47.562475,2.396183,95.2,95.27,49.952704,0.01,3,1,N/A,45.2890,ok
2,21848685,ompgpu2,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.881,167,9.465177e-09,26.715042,25.177567,1.537475,94.2,179.97,26.704877,0.04,3,2,0.000000,17.3110,ok
2,21848685,ompgpu2halo,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,5.885,167,9.465177e-09,25.735224,24.250597,1.484627,94.2,186.85,25.729083,0.02,3,2,0.000000,16.6990,ok
2,21848685,ompgpu4,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,7.568,167,9.379220e-09,18.459794,17.443970,1.015824,94.5,259.76,18.451634,0.04,3,4,0.000000,13.6860,ok
2,21848685,ompgpu4halo,5,gpu,omp,natural,21086369,335433721,15.91,41059.2,7.580,167,9.379220e-09,12.849044,11.825141,1.023904,92.0,383.19,12.807124,0.33,3,4,0.000000,10.9040,ok
2,21848685,ompgpu1,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,10.084,167,9.890726e-09,97.512183,93.042898,4.469285,95.4,97.50,97.504131,0.01,3,1,N/A,56.5270,ok
2,21848685,ompgpu2,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,11.771,168,9.114724e-09,54.880777,52.162341,2.718436,95.0,173.91,54.878744,0.00,3,2,0.000000,35.8350,ok
2,21848685,ompgpu2halo,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,11.777,168,9.114724e-09,50.221205,47.424368,2.796837,94.4,191.29,50.214168,0.01,3,2,0.000000,33.4610,ok
2,21848685,ompgpu4,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,15.145,168,9.248915e-09,36.003762,34.436338,1.567424,95.6,263.43,35.998285,0.02,3,4,0.000000,26.9560,ok
2,21848685,ompgpu4halo,10,gpu,omp,natural,42172739,671630069,15.93,65176.9,15.164,168,9.248915e-09,25.976715,24.073480,1.903235,92.7,376.83,25.287003,2.73,3,4,0.000000,22.0470,ok
2,21848685,ompgpu1,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,20.183,169,9.106102e-09,208.202444,199.471007,8.731438,95.8,91.04,208.190467,0.01,3,1,N/A,120.9550,ok
2,21848685,ompgpu2,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,23.557,169,9.128358e-09,112.472998,106.982985,5.490013,95.1,169.74,112.471807,0.00,3,2,0.000000,73.1270,ok
2,21848685,ompgpu2halo,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,23.567,169,9.128358e-09,103.023802,97.554423,5.469379,94.7,186.14,103.014017,0.01,3,2,0.000000,68.6430,ok
2,21848685,ompgpu4,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,30.305,169,9.109535e-09,72.972734,70.020917,2.951817,96.0,259.34,72.956147,0.02,3,4,0.000000,54.8060,ok
2,21848685,ompgpu4halo,20,gpu,omp,natural,84345479,1344549713,15.94,103467.4,30.335,169,9.109535e-09,54.947219,52.060450,2.886769,94.7,348.80,54.844340,0.19,3,4,0.000000,45.7560,ok
2,21848685,ompgpu1,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,30.286,168,9.425903e-09,309.836974,296.588188,13.248786,95.7,91.88,309.833047,0.00,3,1,N/A,179.5930,ok
2,21848685,ompgpu2,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,35.347,168,9.446114e-09,169.685472,161.263670,8.421802,95.0,168.97,169.337461,0.21,3,2,0.000000,109.9640,ok
2,21848685,ompgpu2halo,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,35.360,168,9.446114e-09,156.325197,147.372000,8.953197,94.3,184.90,156.223886,0.06,3,2,0.000000,103.3000,ok
2,21848685,ompgpu4,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,45.468,168,9.443046e-09,104.703843,100.442242,4.261601,95.9,271.29,104.533405,0.16,3,4,0.000000,79.1340,ok
2,21848685,ompgpu4halo,30,gpu,omp,natural,126518218,2017751756,15.95,135565.8,45.508,168,9.443046e-09,78.094790,73.903646,4.191144,94.6,368.72,78.072761,0.03,3,4,0.000000,66.4360,ok
2,21848685,ompgpu1,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,40.392,171,9.324093e-09,399.078703,381.484264,17.594439,95.6,95.27,398.709073,0.09,3,1,N/A,235.9720,ok
2,21848685,ompgpu2,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,47.139,171,9.279968e-09,242.905916,230.456591,12.449325,94.9,157.70,241.057709,0.77,3,2,0.000000,157.3230,ok
2,21848685,ompgpu2halo,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,47.156,171,9.279968e-09,222.396826,211.901687,10.495140,95.3,171.51,222.380457,0.01,3,2,0.000000,146.7880,ok
2,21848685,ompgpu4,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,60.635,171,9.283285e-09,143.755623,138.277932,5.477691,96.2,262.83,143.708179,0.03,3,4,0.000000,108.2730,ok
2,21848685,ompgpu4halo,40,gpu,omp,natural,168690958,2691219644,15.95,164224.1,60.683,171,9.283285e-09,110.754300,105.345127,5.409173,95.1,344.99,110.751799,0.00,3,4,0.000000,91.5870,ok
2,21848685,ompgpu1,50,gpu,omp,natural,210863697,3364739477,15.96,190562.8,50.498,169,9.799500e-09,517.555571,494.878878,22.676693,95.6,91.82,516.246610,0.25,3,1,N/A,301.6510,ok
