framework,version,N,elapsed_sec,bandwidth_gbs,status,hierarchy
omp_off,v1,117500000,0.030067,31.263546,ok,COMPOSITE
omp_off,v2,117500000,0.030274,62.099667,ok,COMPOSITE
omp_off,v4,117500000,0.089447,31.527042,ok,COMPOSITE
sycl,v1,117500000,0.012441,75.557114,ok,COMPOSITE
sycl,v2,117500000,0.044111,42.619742,ok,COMPOSITE
sycl,v4,117500000,0.041597,67.793531,ok,COMPOSITE
omp_off,v1,217500000,0.055366,31.427207,ok,COMPOSITE
omp_off,v2,217500000,0.055581,62.611488,ok,COMPOSITE
omp_off,v4,217500000,0.165096,31.617959,ok,COMPOSITE
sycl,v1,217500000,0.022939,75.853460,ok,COMPOSITE
sycl,v2,217500000,0.057472,60.551235,ok,COMPOSITE
sycl,v4,217500000,0.051623,101.117978,ok,COMPOSITE
omp_off,v1,318750000,0.080814,31.553891,ok,COMPOSITE
omp_off,v2,318750000,0.081088,62.894582,ok,COMPOSITE
omp_off,v4,318750000,0.241430,31.686197,ok,COMPOSITE
sycl,v1,318750000,0.033560,75.983228,ok,COMPOSITE
sycl,v2,318750000,0.070115,72.737553,ok,COMPOSITE
sycl,v4,318750000,0.062782,121.850116,ok,COMPOSITE
omp_off,v1,418750000,0.106034,31.593628,ok,COMPOSITE
omp_off,v2,418750000,0.106582,62.862300,ok,COMPOSITE
omp_off,v4,418750000,0.317020,31.701476,ok,COMPOSITE
sycl,v1,418750000,0.044080,75.998152,ok,COMPOSITE
sycl,v2,418750000,0.082934,80.787227,ok,COMPOSITE
sycl,v4,418750000,0.073360,136.995701,ok,COMPOSITE
omp_off,v1,520000000,0.131587,31.614058,ok,COMPOSITE
omp_off,v2,520000000,0.131852,63.101095,ok,COMPOSITE
omp_off,v4,520000000,0.393531,31.712889,ok,COMPOSITE
sycl,v1,520000000,0.054719,76.024821,ok,COMPOSITE
sycl,v2,520000000,0.095933,86.727231,ok,COMPOSITE
sycl,v4,520000000,0.083617,149.251996,ok,COMPOSITE
omp_off,v1,1240000000,0.312994,31.693898,ok,COMPOSITE
omp_off,v2,1240000000,0.313302,63.325473,ok,COMPOSITE
omp_off,v4,1240000000,0.937821,31.733138,ok,COMPOSITE
sycl,v1,1240000000,0.130389,76.080052,ok,COMPOSITE
sycl,v2,1240000000,0.186850,106.181524,ok,COMPOSITE
sycl,v4,1240000000,0.158545,187.706940,ok,COMPOSITE
