framework,version,N,elapsed_sec,bandwidth_gbs,status,hierarchy
omp_off,v1,117500000,0.030073,31.257102,ok,COMPOSITE
omp_off,v2,117500000,0.030385,61.872599,ok,COMPOSITE
omp_off,v4,117500000,0.089484,31.514022,ok,COMPOSITE
sycl,v1,117500000,0.012445,75.532506,ok,COMPOSITE
sycl,v2,117500000,0.044501,42.246179,ok,COMPOSITE
sycl,v4,117500000,0.041489,67.969620,ok,COMPOSITE
omp_off,v1,217500000,0.055410,31.402191,ok,COMPOSITE
omp_off,v2,217500000,0.055590,62.601284,ok,COMPOSITE
omp_off,v4,217500000,0.165086,31.619877,ok,COMPOSITE
sycl,v1,217500000,0.022942,75.843212,ok,COMPOSITE
sycl,v2,217500000,0.056857,61.206067,ok,COMPOSITE
sycl,v4,217500000,0.051581,101.200239,ok,COMPOSITE
omp_off,v1,318750000,0.080820,31.551657,ok,COMPOSITE
omp_off,v2,318750000,0.081125,62.865931,ok,COMPOSITE
omp_off,v4,318750000,0.241830,31.633778,ok,COMPOSITE
sycl,v1,318750000,0.033578,75.942765,ok,COMPOSITE
sycl,v2,318750000,0.069266,73.629112,ok,COMPOSITE
sycl,v4,318750000,0.063300,120.853282,ok,COMPOSITE
omp_off,v1,418750000,0.106122,31.567436,ok,COMPOSITE
omp_off,v2,418750000,0.106233,63.068985,ok,COMPOSITE
omp_off,v4,418750000,0.317478,31.655719,ok,COMPOSITE
sycl,v1,418750000,0.044083,75.992809,ok,COMPOSITE
sycl,v2,418750000,0.080830,82.889916,ok,COMPOSITE
sycl,v4,418750000,0.073343,137.027320,ok,COMPOSITE
omp_off,v1,520000000,0.131569,31.618412,ok,COMPOSITE
omp_off,v2,520000000,0.131782,63.134659,ok,COMPOSITE
omp_off,v4,520000000,0.393727,31.697084,ok,COMPOSITE
sycl,v1,520000000,0.054733,76.005282,ok,COMPOSITE
sycl,v2,520000000,0.095376,87.233672,ok,COMPOSITE
sycl,v4,520000000,0.083938,148.680954,ok,COMPOSITE
omp_off,v1,1240000000,0.312932,31.700176,ok,COMPOSITE
omp_off,v2,1240000000,0.313174,63.351362,ok,COMPOSITE
omp_off,v4,1240000000,0.937737,31.735969,ok,COMPOSITE
sycl,v1,1240000000,0.130360,76.096888,ok,COMPOSITE
sycl,v2,1240000000,0.186643,106.299257,ok,COMPOSITE
sycl,v4,1240000000,0.159929,186.082531,ok,COMPOSITE
