rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
3,43992212,1-omp,1gpu,1,0,768,7.45546e-05,500,37.3430,13.719737,ok
3,43992212,2-omp,2gpu,2,0-1,768,7.45546e-05,500,37.7470,13.892837,ok
3,43992212,2-omp-stream,2gpu,2,0-1,768,7.45546e-05,500,37.7820,13.865672,ok
3,43992212,2-omp-stream-omp,2gpu,2,0-1,768,7.45546e-05,500,30.7460,6.826559,ok
3,43992212,2-omp-stream-omp-p2p,2gpu,2,0-1,768,7.45546e-05,500,30.5200,6.707152,ok
3,43992212,4-omp,4gpu,4,0-1-2-3,768,7.45546e-05,500,39.3670,14.970182,ok
3,43992212,4-omp-stream,4gpu,4,0-1-2-3,768,7.45546e-05,500,39.4740,14.978838,ok
3,43992212,4-omp-stream-omp,4gpu,4,0-1-2-3,768,7.45546e-05,500,28.1580,3.677522,ok
3,43992212,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,768,7.45546e-05,500,27.6850,3.185071,ok
