framework,version,N,elapsed_sec,bandwidth_gbs,status,hierarchy
omp_off,v1,117500000,0.030141,31.186636,ok,COMPOSITE
omp_off,v2,117500000,0.030236,62.177525,ok,COMPOSITE
omp_off,v4,117500000,0.089653,31.454603,ok,COMPOSITE
sycl,v1,117500000,0.012426,75.648447,ok,COMPOSITE
sycl,v2,117500000,0.044961,41.814039,ok,COMPOSITE
sycl,v4,117500000,0.042444,66.440501,ok,COMPOSITE
omp_off,v1,217500000,0.055272,31.480755,ok,COMPOSITE
omp_off,v2,217500000,0.055561,62.633788,ok,COMPOSITE
omp_off,v4,217500000,0.165056,31.625632,ok,COMPOSITE
sycl,v1,217500000,0.022927,75.892900,ok,COMPOSITE
sycl,v2,217500000,0.056112,62.019027,ok,COMPOSITE
sycl,v4,217500000,0.052664,99.118865,ok,COMPOSITE
omp_off,v1,318750000,0.080836,31.545329,ok,COMPOSITE
omp_off,v2,318750000,0.081018,62.948997,ok,COMPOSITE
omp_off,v4,318750000,0.241402,31.689859,ok,COMPOSITE
sycl,v1,318750000,0.033563,75.976212,ok,COMPOSITE
sycl,v2,318750000,0.071318,71.510788,ok,COMPOSITE
sycl,v4,318750000,0.062874,121.672224,ok,COMPOSITE
omp_off,v1,418750000,0.105987,31.607700,ok,COMPOSITE
omp_off,v2,418750000,0.106174,63.103966,ok,COMPOSITE
omp_off,v4,418750000,0.316986,31.704862,ok,COMPOSITE
sycl,v1,418750000,0.044114,75.939417,ok,COMPOSITE
sycl,v2,418750000,0.082393,81.317420,ok,COMPOSITE
sycl,v4,418750000,0.073098,137.486767,ok,COMPOSITE
omp_off,v1,520000000,0.131548,31.623455,ok,COMPOSITE
omp_off,v2,520000000,0.131775,63.137857,ok,COMPOSITE
omp_off,v4,520000000,0.393675,31.701288,ok,COMPOSITE
sycl,v1,520000000,0.054717,76.027471,ok,COMPOSITE
sycl,v2,520000000,0.095471,87.146969,ok,COMPOSITE
sycl,v4,520000000,0.083701,149.102348,ok,COMPOSITE
omp_off,v1,1240000000,0.312885,31.704935,ok,COMPOSITE
omp_off,v2,1240000000,0.313272,63.331546,ok,COMPOSITE
omp_off,v4,1240000000,0.937934,31.729306,ok,COMPOSITE
sycl,v1,1240000000,0.130386,76.081860,ok,COMPOSITE
sycl,v2,1240000000,0.186344,106.469671,ok,COMPOSITE
sycl,v4,1240000000,0.159587,186.481464,ok,COMPOSITE
