rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
3,43989154,1-omp,1gpu,1,0,512,0.0001679668,500,10.6310,3.431462,ok
3,43989154,2-omp,2gpu,2,0-1,512,0.0001679668,500,9.8840,2.294095,ok
3,43989154,2-omp-stream,2gpu,2,0-1,512,0.0001679668,500,9.3510,1.751416,ok
3,43989154,2-omp-stream-omp,2gpu,2,0-1,512,0.0001679668,500,9.3650,1.743532,ok
3,43989154,2-omp-stream-omp-p2p,2gpu,2,0-1,512,0.0001679668,500,9.3370,1.741955,ok
3,43989154,4-omp,4gpu,4,0-1-2-3,512,0.0001679668,500,10.6310,2.757909,ok
3,43989154,4-omp-stream,4gpu,4,0-1-2-3,512,0.0001679668,500,9.1250,1.250522,ok
3,43989154,4-omp-stream-omp,4gpu,4,0-1-2-3,512,0.0001679668,500,9.1000,1.217715,ok
3,43989154,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,512,0.0001679668,500,8.8450,0.925139,ok
