rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
2,43991392,1-omp,1gpu,1,0,1024,4.190964e-05,500,90.2310,34.674275,ok
2,43991392,2-omp,2gpu,2,0-1,1024,4.190964e-05,500,75.7780,18.307284,ok
2,43991392,2-omp-stream,2gpu,2,0-1,1024,4.190964e-05,500,73.5550,16.849642,ok
2,43991392,2-omp-stream-omp,2gpu,2,0-1,1024,4.190964e-05,500,74.8290,17.112428,ok
2,43991392,2-omp-stream-omp-p2p,2gpu,2,0-1,1024,4.190964e-05,500,74.3580,16.686008,ok
2,43991392,4-omp,4gpu,4,0-1-2-3,1024,4.190964e-05,500,72.1120,13.475739,ok
2,43991392,4-omp-stream,4gpu,4,0-1-2-3,1024,4.190964e-05,500,67.0760,8.624346,ok
2,43991392,4-omp-stream-omp,4gpu,4,0-1-2-3,1024,4.190964e-05,500,67.5060,9.031591,ok
2,43991392,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1024,4.190964e-05,500,64.6150,8.257841,ok
