rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
3,43989159,1-omp,1gpu,1,0,640,0.0001074146,500,19.9100,6.147622,ok
3,43989159,2-omp,2gpu,2,0-1,640,0.0001074146,500,17.5360,3.265230,ok
3,43989159,2-omp-stream,2gpu,2,0-1,640,0.0001074146,500,16.8520,2.554896,ok
3,43989159,2-omp-stream-omp,2gpu,2,0-1,640,0.0001074146,500,16.7520,2.498581,ok
3,43989159,2-omp-stream-omp-p2p,2gpu,2,0-1,640,0.0001074146,500,16.8670,2.541610,ok
3,43989159,4-omp,4gpu,4,0-1-2-3,640,0.0001074146,500,18.4390,3.497151,ok
3,43989159,4-omp-stream,4gpu,4,0-1-2-3,640,0.0001074146,500,16.5290,1.525552,ok
3,43989159,4-omp-stream-omp,4gpu,4,0-1-2-3,640,0.0001074146,500,16.4690,1.488615,ok
3,43989159,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,640,0.0001074146,500,16.2080,1.148349,ok
