rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
4,43991374,1-omp,1gpu,1,0,512,0.0001679668,500,10.8970,3.670766,ok
4,43991374,2-omp,2gpu,2,0-1,512,0.0001679668,500,9.9000,2.277278,ok
4,43991374,2-omp-stream,2gpu,2,0-1,512,0.0001679668,500,9.5320,1.929565,ok
4,43991374,2-omp-stream-omp,2gpu,2,0-1,512,0.0001679668,500,9.5450,1.905199,ok
4,43991374,2-omp-stream-omp-p2p,2gpu,2,0-1,512,0.0001679668,500,9.4000,1.752222,ok
4,43991374,4-omp,4gpu,4,0-1-2-3,512,0.0001679668,500,10.7170,2.735605,ok
4,43991374,4-omp-stream,4gpu,4,0-1-2-3,512,0.0001679668,500,9.2370,1.356610,ok
4,43991374,4-omp-stream-omp,4gpu,4,0-1-2-3,512,0.0001679668,500,9.2630,1.366297,ok
4,43991374,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,512,0.0001679668,500,8.8710,0.970392,ok
