rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
2,43992473,1-omp,1gpu,1,0,1152,3.310659e-05,500,128.2660,49.613662,ok
2,43992473,2-omp,2gpu,2,0-1,1152,3.310659e-05,500,129.0680,50.092381,ok
2,43992473,2-omp-stream,2gpu,2,0-1,1152,3.310659e-05,500,129.1950,50.133852,ok
2,43992473,2-omp-stream-omp,2gpu,2,0-1,1152,3.310659e-05,500,103.9360,24.659781,ok
2,43992473,2-omp-stream-omp-p2p,2gpu,2,0-1,1152,3.310659e-05,500,103.3250,24.385101,ok
2,43992473,4-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,132.1320,52.441453,ok
2,43992473,4-omp-stream,4gpu,4,0-1-2-3,1152,3.310659e-05,500,132.1570,52.504461,ok
2,43992473,4-omp-stream-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,92.6130,12.884535,ok
2,43992473,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1152,3.310659e-05,500,91.9320,12.094772,ok
