variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps
1-omp,1,512,5,0,8.4673,8.6097,8.8618,4.6,501
1-omp,1,640,5,0,16.5399,17.0981,17.1332,3.5,500
1-omp,1,768,5,0,29.5008,29.9087,30.8082,4.4,501
1-omp,1,896,5,0,48.1848,48.4932,49.1834,2.1,501
1-omp,1,1024,5,0,72.6571,73.0161,73.7136,1.4,501
1-omp,1,1152,5,0,101.8129,104.2726,105.7278,3.8,500
1-omp,1,1280,5,0,141.2936,142.4599,145.1173,2.7,500
2-omp,2,512,5,0,4.2776,4.3763,4.4583,4.1,501
2-omp,2,640,5,0,8.6168,8.7778,8.7949,2.0,500
2-omp,2,768,5,0,15.4008,15.4484,15.5619,1.0,501
2-omp,2,896,5,0,24.1333,24.3203,24.7219,2.4,501
2-omp,2,1024,5,0,36.5692,36.9633,37.7218,3.1,501
2-omp,2,1152,5,0,52.2890,52.6563,53.3880,2.1,500
2-omp,2,1280,5,0,72.8917,73.5028,74.5875,2.3,500
2-omp-stream,2,512,5,0,4.1912,4.2601,4.3466,3.6,501
2-omp-stream,2,640,5,0,8.1916,8.4961,8.5715,4.5,500
2-omp-stream,2,768,5,0,14.7953,15.0071,15.2562,3.1,501
2-omp-stream,2,896,5,0,23.4123,24.0572,24.1858,3.2,501
2-omp-stream,2,1024,5,0,35.9496,36.3560,37.0679,3.1,501
2-omp-stream,2,1152,5,0,51.2114,51.6742,52.3725,2.2,500
2-omp-stream,2,1280,5,0,71.4982,72.2651,73.4868,2.8,500
2-omp-stream-omp,2,512,5,0,4.1175,4.2434,4.3059,4.4,501
2-omp-stream-omp,2,640,5,0,8.3469,8.3836,8.5766,2.7,500
2-omp-stream-omp,2,768,5,0,14.7489,14.8514,15.2322,3.3,501
2-omp-stream-omp,2,896,5,0,23.6504,24.1198,24.2532,2.5,501
2-omp-stream-omp,2,1024,5,0,35.9349,36.2903,37.0493,3.1,501
2-omp-stream-omp,2,1152,5,0,51.5134,51.8155,52.6763,2.2,500
2-omp-stream-omp,2,1280,5,0,71.7795,72.4083,73.3506,2.2,500
2-omp-stream-omp-p2p,2,512,5,0,4.0921,4.2769,4.3354,5.7,501
2-omp-stream-omp-p2p,2,640,5,0,8.4077,8.5119,8.5600,1.8,500
2-omp-stream-omp-p2p,2,768,5,0,14.9167,15.0250,15.1723,1.7,501
2-omp-stream-omp-p2p,2,896,5,0,23.6527,24.1022,24.3427,2.9,501
2-omp-stream-omp-p2p,2,1024,5,0,35.9636,36.3120,37.0863,3.1,501
2-omp-stream-omp-p2p,2,1152,5,0,51.6167,52.4683,52.7666,2.2,500
2-omp-stream-omp-p2p,2,1280,5,0,71.7672,72.4516,73.4118,2.3,500
4-omp,4,512,5,0,2.5716,2.5771,2.5939,0.9,501
4-omp,4,640,5,0,4.8813,4.9533,4.9897,2.2,500
4-omp,4,768,5,0,8.4534,8.4974,8.5426,1.0,501
4-omp,4,896,5,0,13.2886,13.3610,13.5294,1.8,501
4-omp,4,1024,5,0,19.7966,20.1727,20.2424,2.2,501
4-omp,4,1152,5,0,28.2466,28.5580,28.6850,1.5,500
4-omp,4,1280,5,0,38.8182,39.4209,39.7175,2.3,500
4-omp-stream,4,512,5,0,1.9835,2.0075,2.0229,2.0,501
4-omp-stream,4,640,5,0,4.0571,4.1007,4.1634,2.6,500
4-omp-stream,4,768,5,0,7.1764,7.2881,7.3864,2.9,501
4-omp-stream,4,896,5,0,11.6033,11.7568,11.9457,2.9,501
4-omp-stream,4,1024,5,0,18.0710,18.1245,18.1782,0.6,501
4-omp-stream,4,1152,5,0,25.6803,25.9594,26.1239,1.7,500
4-omp-stream,4,1280,5,0,35.8059,36.2854,36.4640,1.8,500
4-omp-stream-omp,4,512,5,0,2.0757,2.1087,2.1430,3.2,501
4-omp-stream-omp,4,640,5,0,4.2232,4.3061,4.4030,4.2,500
4-omp-stream-omp,4,768,5,0,7.4492,7.5863,7.7415,3.9,501
4-omp-stream-omp,4,896,5,0,12.2358,12.3994,12.5152,2.3,501
4-omp-stream-omp,4,1024,5,0,19.0073,19.0256,19.1170,0.6,501
4-omp-stream-omp,4,1152,5,0,26.9657,27.1078,27.1959,0.8,500
4-omp-stream-omp,4,1280,5,0,37.6242,37.7112,38.0928,1.2,500
4-omp-stream-omp-p2p,4,512,5,0,2.0757,2.1087,2.1430,3.2,501
4-omp-stream-omp-p2p,4,640,5,0,4.2780,4.3131,4.4235,3.4,500
4-omp-stream-omp-p2p,4,768,5,0,7.5524,7.6050,7.8062,3.3,501
4-omp-stream-omp-p2p,4,896,5,0,12.2051,12.4501,12.6053,3.2,501
4-omp-stream-omp-p2p,4,1024,5,0,19.0073,19.0256,19.1170,0.6,501
4-omp-stream-omp-p2p,4,1152,5,0,26.4650,27.0651,27.2427,2.9,500
4-omp-stream-omp-p2p,4,1280,5,0,37.5704,37.7260,37.9263,0.9,500
