variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps
1-omp,1,512,5,0,3.4315,3.4639,3.6767,7.1,501
1-omp,1,640,5,0,6.1476,6.1522,6.1842,0.6,500
1-omp,1,768,5,0,13.1658,13.7227,13.7428,4.2,501
1-omp,1,896,5,0,21.6003,21.6044,21.6547,0.3,501
1-omp,1,1024,5,0,34.0411,34.1801,34.7617,2.1,501
1-omp,1,1152,5,0,49.6148,49.6372,49.7328,0.2,500
1-omp,1,1280,5,0,65.6355,65.6875,65.8334,0.3,500
2-omp,2,512,5,0,2.2260,2.2916,2.3286,4.5,501
2-omp,2,640,5,0,3.2579,3.2652,3.2735,0.5,500
2-omp,2,768,5,0,7.5501,7.5697,7.6077,0.8,501
2-omp,2,896,5,0,11.3194,11.3336,11.3409,0.2,501
2-omp,2,1024,5,0,17.7506,18.1684,18.2560,2.8,501
2-omp,2,1152,5,0,26.2520,26.2980,26.3162,0.2,500
2-omp,2,1280,5,0,33.7229,33.7484,33.9117,0.6,500
2-omp-stream,2,512,5,0,1.6893,1.7560,1.7635,4.2,501
2-omp-stream,2,640,5,0,2.5415,2.5516,2.5732,1.2,500
2-omp-stream,2,768,5,0,6.5579,6.5938,6.6015,0.7,501
2-omp-stream,2,896,5,0,10.0631,10.0762,10.1001,0.4,501
2-omp-stream,2,1024,5,0,16.2860,16.6107,16.6512,2.2,501
2-omp-stream,2,1152,5,0,24.2562,24.2677,24.2808,0.1,500
2-omp-stream,2,1280,5,0,31.4489,31.4627,31.4752,0.1,500
2-omp-stream-omp,2,512,5,0,1.6934,1.7435,1.7587,3.7,501
2-omp-stream-omp,2,640,5,0,2.4951,2.5024,2.5313,1.4,500
2-omp-stream-omp,2,768,5,0,6.4996,6.5461,6.5581,0.9,501
2-omp-stream-omp,2,896,5,0,10.0395,10.0426,10.0628,0.2,501
2-omp-stream-omp,2,1024,5,0,16.2182,16.5887,16.6248,2.5,501
2-omp-stream-omp,2,1152,5,0,24.2113,24.2215,24.2411,0.1,500
2-omp-stream-omp,2,1280,5,0,31.3420,31.3761,31.4106,0.2,500
2-omp-stream-omp-p2p,2,512,5,0,1.6530,1.7420,1.7509,5.6,501
2-omp-stream-omp-p2p,2,640,5,0,2.5309,2.5436,2.5567,1.0,500
2-omp-stream-omp-p2p,2,768,5,0,6.5512,6.6079,6.6261,1.1,501
2-omp-stream-omp-p2p,2,896,5,0,10.0778,10.0878,10.1079,0.3,501
2-omp-stream-omp-p2p,2,1024,5,0,16.2760,16.6111,16.6504,2.3,501
2-omp-stream-omp-p2p,2,1152,5,0,24.2260,24.2686,24.2891,0.3,500
2-omp-stream-omp-p2p,2,1280,5,0,31.4028,31.4378,31.4843,0.3,500
4-omp,4,512,5,0,2.7031,2.7579,2.7850,3.0,501
4-omp,4,640,5,0,3.4972,3.5002,3.5189,0.6,500
4-omp,4,768,5,0,6.0667,6.3025,6.3248,4.1,501
4-omp,4,896,5,0,8.4671,8.5354,8.7391,3.2,501
4-omp,4,1024,5,0,12.9174,13.3448,13.4785,4.2,501
4-omp,4,1152,5,0,17.9255,17.9433,18.2659,1.9,500
4-omp,4,1280,5,0,22.0189,22.5227,22.6217,2.7,500
4-omp-stream,4,512,5,0,1.2389,1.2505,1.2861,3.8,501
4-omp-stream,4,640,5,0,1.5130,1.5165,1.5256,0.8,500
4-omp-stream,4,768,5,0,3.3313,3.4264,3.4605,3.8,501
4-omp-stream,4,896,5,0,4.7539,4.7790,4.8390,1.8,501
4-omp-stream,4,1024,5,0,8.0327,8.0646,8.1065,0.9,501
4-omp-stream,4,1152,5,0,11.7173,11.7362,11.7458,0.2,500
4-omp-stream,4,1280,5,0,14.6186,14.6223,14.6569,0.3,500
4-omp-stream-omp,4,512,5,0,1.2091,1.2177,1.2427,2.8,501
4-omp-stream-omp,4,640,5,0,1.4795,1.4953,1.5153,2.4,500
4-omp-stream-omp,4,768,5,0,3.3752,3.4109,3.4255,1.5,501
4-omp-stream-omp,4,896,5,0,4.7755,4.8487,4.9102,2.8,501
4-omp-stream-omp,4,1024,5,0,8.0756,8.0857,8.1283,0.7,501
4-omp-stream-omp,4,1152,5,0,11.7063,11.7318,11.7550,0.4,500
4-omp-stream-omp,4,1280,5,0,14.5867,14.6124,14.6679,0.6,500
4-omp-stream-omp-p2p,4,512,5,0,0.9251,0.9305,0.9338,0.9,501
4-omp-stream-omp-p2p,4,640,5,0,1.1307,1.1371,1.1483,1.6,500
4-omp-stream-omp-p2p,4,768,5,0,3.0809,3.1062,3.1266,1.5,501
4-omp-stream-omp-p2p,4,896,5,0,4.5966,4.6106,4.6258,0.6,501
4-omp-stream-omp-p2p,4,1024,5,0,7.9329,7.9395,7.9887,0.7,501
4-omp-stream-omp-p2p,4,1152,5,0,11.7612,11.7661,11.7970,0.3,500
4-omp-stream-omp-p2p,4,1280,5,0,14.6666,14.6742,14.7090,0.3,500
