rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
5,43989418,1-omp,1gpu,1,0,1152,3.310659e-05,500,128.8160,49.660980,ok
5,43989418,2-omp,2gpu,2,0-1,1152,3.310659e-05,500,108.1690,26.252018,ok
5,43989418,2-omp-stream,2gpu,2,0-1,1152,3.310659e-05,500,106.5450,24.259535,ok
5,43989418,2-omp-stream-omp,2gpu,2,0-1,1152,3.310659e-05,500,106.4950,24.219008,ok
5,43989418,2-omp-stream-omp-p2p,2gpu,2,0-1,1152,3.310659e-05,500,106.4960,24.226010,ok
5,43989418,4-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,101.1230,18.259222,ok
5,43989418,4-omp-stream,4gpu,4,0-1-2-3,1152,3.310659e-05,500,94.6000,11.717308,ok
5,43989418,4-omp-stream-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,94.6460,11.706325,ok
5,43989418,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1152,3.310659e-05,500,94.8820,11.761540,ok
