rep,job_id,variant,family,gpus,cuda_mask,N,dt,steps,wall_sec,reported_sec,status
2,43989415,1-omp,1gpu,1,0,1152,3.310659e-05,500,128.8780,49.732816,ok
2,43989415,2-omp,2gpu,2,0-1,1152,3.310659e-05,500,108.1700,26.265738,ok
2,43989415,2-omp-stream,2gpu,2,0-1,1152,3.310659e-05,500,106.4970,24.280773,ok
2,43989415,2-omp-stream-omp,2gpu,2,0-1,1152,3.310659e-05,500,106.7290,24.241137,ok
2,43989415,2-omp-stream-omp-p2p,2gpu,2,0-1,1152,3.310659e-05,500,106.4100,24.289123,ok
2,43989415,4-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,101.2770,18.265876,ok
2,43989415,4-omp-stream,4gpu,4,0-1-2-3,1152,3.310659e-05,500,95.0950,11.745848,ok
2,43989415,4-omp-stream-omp,4gpu,4,0-1-2-3,1152,3.310659e-05,500,94.7110,11.721701,ok
2,43989415,4-omp-stream-omp-p2p,4gpu,4,0-1-2-3,1152,3.310659e-05,500,95.0920,11.761204,ok
